date,vvp
25.01.2019,1.9
20.02.2019,0.7
21.03.2019,1.5
18.04.2019,0.6
24.05.2019,1.6
21.06.2019,0.2
18.07.2019,0.7
19.08.2019,1.7
19.09.2019,1.6
17.10.2019,2.0
20.11.2019,2.2
18.12.2019,1.6
30.01.2020,2.4
20.02.2020,1.6
23.03.2020,2.9
30.04.2020,0.9
28.05.2020,-12.0
19.06.2020,-10.9
17.07.2020,-6.4
20.08.2020,-4.7
20.09.2020,-4.3
20.10.2020,-3.3
20.11.2020,-4.7
18.12.2020,-3.7
18.02.2021,-2.4
19.03.2021,-2.8
20.04.2021,0.5
07.06.2021,10.7
01.07.2021,10.9
29.07.2021,8.5
01.09.2021,4.7
01.10.2021,3.7
01.12.2021,4.9
29.12.2021,5.2
09.02.2022,4.3
24.03.2022,6.6
27.04.2022,1.6
01.06.2022,-3.0
30.06.2022,-4.3
27.07.2022,-4.9
31.08.2022,-4.3
28.09.2022,-4.1
02.11.2022,-5.0
30.11.2022,-4.4
14.12.2022,-3.7
28.12.2022,-4.0
01.03.2023,-3.2
29.03.2023,-3.1
03.05.2023,-1.1
31.05.2023,3.3
28.06.2023,5.4
02.08.2023,5.3
30.08.2023,5.0
27.09.2023,5.2
01.11.2023,5.2
29.11.2023,5.0
27.12.2023,4.4
28.02.2024,4.6
27.03.2024,4.6
03.04.2024,7.7
27.04.2024,4.2
05.06.2024,4.4
03.07.2024,4.5
31.07.2024,3.0
28.08.2024,3.4
02.10.2024,2.4
30.10.2024,2.9
